--------- beginning of system
01-01 00:00:16.460   249   249 I Vold    : Vold 2.1 (the revenge) firing up
01-01 00:00:16.461   249   249 D Vold    : Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:16.461   249   249 I Cryptfs : Check if PFE is activated on Boot
01-01 00:00:18.947   318   318 W Resources: Preloaded drawable resource #0x10800a2 (android:drawable/ab_bottom_transparent_light_holo) that varies with configuration!!
01-01 00:00:18.948   318   318 W Resources: Preloaded drawable resource #0x10800b8 (android:drawable/ab_solid_light_holo) that varies with configuration!!
01-01 00:00:18.948   318   318 W Resources: Preloaded drawable resource #0x10800bf (android:drawable/ab_stacked_solid_light_holo) that varies with configuration!!
01-01 00:00:18.948   318   318 W Resources: Preloaded drawable resource #0x10800a0 (android:drawable/ab_bottom_solid_light_holo) that varies with configuration!!
01-01 00:00:18.948   318   318 W Resources: Preloaded drawable resource #0x10800b9 (android:drawable/ab_solid_shadow_holo) that varies with configuration!!
01-01 00:00:18.949   318   318 W Resources: Preloaded drawable resource #0x10804c5 (android:drawable/list_selector_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.949   318   318 W Resources: Preloaded drawable resource #0x10804c5 (android:drawable/list_selector_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.950   318   318 W Resources: Preloaded drawable resource #0x10804a4 (android:drawable/list_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.950   318   318 W Resources: Preloaded drawable resource #0x10804a2 (android:drawable/list_longpressed_holo_dark) that varies with configuration!!
01-01 00:00:18.951   318   318 W Resources: Preloaded drawable resource #0x10804c2 (android:drawable/list_selector_background_transition_holo_dark) that varies with configuration!!
01-01 00:00:18.951   318   318 W Resources: Preloaded drawable resource #0x10804a4 (android:drawable/list_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.951   318   318 W Resources: Preloaded drawable resource #0x10804a2 (android:drawable/list_longpressed_holo_dark) that varies with configuration!!
01-01 00:00:18.951   318   318 W Resources: Preloaded drawable resource #0x10804c2 (android:drawable/list_selector_background_transition_holo_dark) that varies with configuration!!
01-01 00:00:18.951   318   318 W Resources: Preloaded drawable resource #0x108049d (android:drawable/list_focused_holo) that varies with configuration!!
01-01 00:00:18.952   318   318 W Resources: Preloaded drawable resource #0x1080456 (android:drawable/item_background_holo_dark) that varies with configuration!!
01-01 00:00:18.952   318   318 W Resources: Preloaded drawable resource #0x10804c6 (android:drawable/list_selector_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.952   318   318 W Resources: Preloaded drawable resource #0x10804c6 (android:drawable/list_selector_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.953   318   318 W Resources: Preloaded drawable resource #0x10804a5 (android:drawable/list_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.953   318   318 W Resources: Preloaded drawable resource #0x10804a3 (android:drawable/list_longpressed_holo_light) that varies with configuration!!
01-01 00:00:18.953   318   318 W Resources: Preloaded drawable resource #0x10804c3 (android:drawable/list_selector_background_transition_holo_light) that varies with configuration!!
01-01 00:00:18.954   318   318 W Resources: Preloaded drawable resource #0x10804a5 (android:drawable/list_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.954   318   318 W Resources: Preloaded drawable resource #0x10804a3 (android:drawable/list_longpressed_holo_light) that varies with configuration!!
01-01 00:00:18.954   318   318 W Resources: Preloaded drawable resource #0x10804c3 (android:drawable/list_selector_background_transition_holo_light) that varies with configuration!!
01-01 00:00:18.954   318   318 W Resources: Preloaded drawable resource #0x108049d (android:drawable/list_focused_holo) that varies with configuration!!
01-01 00:00:18.954   318   318 W Resources: Preloaded drawable resource #0x1080457 (android:drawable/item_background_holo_light) that varies with configuration!!
01-01 00:00:18.955   318   318 W Resources: Preloaded drawable resource #0x10802f9 (android:drawable/fastscroll_thumb_pressed_holo) that varies with configuration!!
01-01 00:00:18.955   318   318 W Resources: Preloaded drawable resource #0x10802f5 (android:drawable/fastscroll_thumb_default_holo) that varies with configuration!!
01-01 00:00:18.955   318   318 W Resources: Preloaded drawable resource #0x10802f6 (android:drawable/fastscroll_thumb_holo) that varies with configuration!!
01-01 00:00:18.956   318   318 W Resources: Preloaded drawable resource #0x10802f9 (android:drawable/fastscroll_thumb_pressed_holo) that varies with configuration!!
01-01 00:00:18.956   318   318 W Resources: Preloaded drawable resource #0x10802f5 (android:drawable/fastscroll_thumb_default_holo) that varies with configuration!!
01-01 00:00:18.956   318   318 W Resources: Preloaded drawable resource #0x1080300 (android:drawable/fastscroll_track_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.957   318   318 W Resources: Preloaded drawable resource #0x10802fa (android:drawable/fastscroll_track_default_holo_dark) that varies with configuration!!
01-01 00:00:18.957   318   318 W Resources: Preloaded drawable resource #0x10802fc (android:drawable/fastscroll_track_holo_dark) that varies with configuration!!
01-01 00:00:18.957   318   318 W Resources: Preloaded drawable resource #0x1080300 (android:drawable/fastscroll_track_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.957   318   318 W Resources: Preloaded drawable resource #0x10802fa (android:drawable/fastscroll_track_default_holo_dark) that varies with configuration!!
01-01 00:00:18.958   318   318 W Resources: Preloaded drawable resource #0x10802ef (android:drawable/fastscroll_label_left_holo_dark) that varies with configuration!!
01-01 00:00:18.958   318   318 W Resources: Preloaded drawable resource #0x10802f2 (android:drawable/fastscroll_label_right_holo_dark) that varies with configuration!!
01-01 00:00:18.959   318   318 W Resources: Preloaded drawable resource #0x1080301 (android:drawable/fastscroll_track_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.959   318   318 W Resources: Preloaded drawable resource #0x10802fb (android:drawable/fastscroll_track_default_holo_light) that varies with configuration!!
01-01 00:00:18.959   318   318 W Resources: Preloaded drawable resource #0x10802fd (android:drawable/fastscroll_track_holo_light) that varies with configuration!!
01-01 00:00:18.959   318   318 W Resources: Preloaded drawable resource #0x1080301 (android:drawable/fastscroll_track_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.960   318   318 W Resources: Preloaded drawable resource #0x10802fb (android:drawable/fastscroll_track_default_holo_light) that varies with configuration!!
01-01 00:00:18.960   318   318 W Resources: Preloaded drawable resource #0x10802f0 (android:drawable/fastscroll_label_left_holo_light) that varies with configuration!!
01-01 00:00:18.961   318   318 W Resources: Preloaded drawable resource #0x10802f3 (android:drawable/fastscroll_label_right_holo_light) that varies with configuration!!
01-01 00:00:18.961   318   318 W Resources: Preloaded drawable resource #0x10802d0 (android:drawable/editbox_dropdown_background_dark) that varies with configuration!!
01-01 00:00:18.962   318   318 W Resources: Preloaded drawable resource #0x1080743 (android:drawable/textfield_search_selected_holo_dark) that varies with configuration!!
01-01 00:00:18.962   318   318 W Resources: Preloaded drawable resource #0x1080735 (android:drawable/textfield_search_default_holo_dark) that varies with configuration!!
01-01 00:00:18.963   318   318 W Resources: Preloaded drawable resource #0x1080745 (android:drawable/textfield_searchview_holo_dark) that varies with configuration!!
01-01 00:00:18.964   318   318 W Resources: Preloaded drawable resource #0x1080740 (android:drawable/textfield_search_right_selected_holo_dark) that varies with configuration!!
01-01 00:00:18.965   318   318 W Resources: Preloaded drawable resource #0x108073e (android:drawable/textfield_search_right_default_holo_dark) that varies with configuration!!
